"상품코드","자체 상품코드","진열상태","판매상태","상품분류 번호","상품분류 신상품영역","상품분류 추천상품영역","상품명","영문 상품명","상품명(관리용)","공급사 상품명","모델명","상품 요약설명","상품 간략설명","상품 상세설명","모바일 상품 상세설명 설정","모바일 상품 상세설명","검색어설정","과세구분","소비자가","공급가","상품가","판매가","판매가 대체문구 사용","판매가 대체문구","주문수량 제한 기준","최소 주문수량(이상)","최대 주문수량(이하)","적립금","적립금 구분","공통이벤트 정보","성인인증","옵션사용","품목 구성방식","옵션 표시방식","옵션세트명","옵션입력","옵션 스타일","버튼이미지 설정","색상 설정","필수여부","품절표시 문구","추가입력옵션","추가입력옵션 명칭","추가입력옵션 선택/필수여부","입력글자수(자)","이미지등록(상세)","이미지등록(목록)","이미지등록(작은목록)","이미지등록(축소)","이미지등록(추가)","제조사","공급사","브랜드","트렌드","자체분류 코드","제조일자","출시일자","유효기간 사용여부","유효기간","원산지","상품부피(cm)","상품결제안내","상품배송안내","교환/반품안내","서비스문의/안내","배송정보","배송방법","국내/해외배송","배송지역","배송비 선결제 설정","배송기간","배송비 구분","배송비입력","스토어픽업 설정","상품 전체중량(kg)","HS코드","상품 구분(해외통관)","상품소재","영문 상품소재(해외통관)","옷감(해외통관)","검색엔진최적화(SEO) 검색엔진 노출 설정","검색엔진최적화(SEO) Title","검색엔진최적화(SEO) Author","검색엔진최적화(SEO) Description","검색엔진최적화(SEO) Keywords","검색엔진최적화(SEO) 상품 이미지 Alt 텍스트","개별결제수단설정","상품배송유형 코드","메모"
"","SAF2026-228","Y","Y","43","Y","Y","연인 - 한미영","","[228] 한미영","","","회화 | mixed media on canvas (acrylic, gold leaf, ) | 90.9x65.1cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">연인</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">한미영</p><p style=""color: #888;"">mixed media on canvas (acrylic, gold leaf, ) | 90.9x65.1cm | 2024</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","한미영,회화,씨앗페,SAF2026,미술,예술,작품","B","800000","800000","800000","800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","228.jpeg","228.jpeg","228.jpeg","228.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-229","Y","Y","43","Y","Y","Free will - 한미영","","[229] 한미영","","","회화 | mixed media on canvas (acrylic, gold leaf, wax paint) | 72.7x53.0cm","","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Free will</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">한미영</p><p style=""color: #888;"">mixed media on canvas (acrylic, gold leaf, wax paint) | 72.7x53.0cm | 2024</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;""></p></div></div>","A","","한미영,회화,씨앗페,SAF2026,미술,예술,작품","B","550000","550000","550000","550000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","229.jpeg","229.jpeg","229.jpeg","229.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-230","Y","Y","43","Y","Y","Ottogi Chrome Rainbow (purple top) - 양순열","","[230] 양순열","","","조각 | Car paint on resin | 60x60x130cm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi Chrome Rainbow (purple top)</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 60x60x130cm | 2022</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","35000000","35000000","35000000","35000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","230.png","230.png","230.png","230.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-231","Y","Y","43","Y","Y","Ottogi Chrome Rainbow (blue top) - 양순열","","[231] 양순열","","","조각 | Car paint on resin | 60x60x130cm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi Chrome Rainbow (blue top)</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 60x60x130cm | 2022</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","35000000","35000000","35000000","35000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","231.png","231.png","231.png","231.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-232","Y","Y","43","Y","Y","Ottogi Earthy Rainbow - 양순열","","[232] 양순열","","","조각 | Car paint on resin | 40x40x90cm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi Earthy Rainbow</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 40x40x90cm | 2021</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","18500000","18500000","18500000","18500000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","232.png","232.png","232.png","232.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-233","Y","Y","43","Y","Y","Ottogi Earthy Rainbow Matte - 양순열","","[233] 양순열","","","조각 | Car paint on resin | 40x40x65cm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi Earthy Rainbow Matte</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 40x40x65cm | 2021</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","12600000","12600000","12600000","12600000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","233.png","233.png","233.png","233.png","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-234","Y","Y","43","Y","Y","Ottogi_Mother Ya-ho - 양순열","","[234] 양순열","","","조각 | Car paint on resin | 55x55x120cm","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Ottogi_Mother Ya-ho</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">양순열</p><p style=""color: #888;"">Car paint on resin | 55x55x120cm | 2014</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.</p></div></div>","A","","양순열,조각,씨앗페,SAF2026,미술,예술,작품","B","25000000","25000000","25000000","25000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","234.jpeg","234.jpeg","234.jpeg","234.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-235","Y","Y","43","Y","Y","무슨일 있어? - 이윤엽","","[235] 이윤엽","","","회화 | 확인 중 | 9.5x14cm","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">무슨일 있어?</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">이윤엽</p><p style=""color: #888;"">확인 중 | 9.5x14cm | 2022</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.</p></div></div>","A","","이윤엽,회화,씨앗페,SAF2026,미술,예술,작품","B","200000","200000","200000","200000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","235.jpeg","235.jpeg","235.jpeg","235.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-236","Y","Y","43","Y","Y","좋은소식 - 이윤엽","","[236] 이윤엽","","","판화 | 다색목판 48장 중에서 | 27x39.5cm","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">좋은소식</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">이윤엽</p><p style=""color: #888;"">다색목판 48장 중에서 | 27x39.5cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.</p></div></div>","A","","이윤엽,판화,씨앗페,SAF2026,미술,예술,작품","B","500000","500000","500000","500000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","236.jpeg","236.jpeg","236.jpeg","236.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-237","Y","Y","43","Y","Y","새로운 날 - 이윤엽","","[237] 이윤엽","","","판화 | 다색목판 | 26.5x80.4cm","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">새로운 날</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">이윤엽</p><p style=""color: #888;"">다색목판 | 26.5x80.4cm | 확인 중</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.\n이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.</p></div></div>","A","","이윤엽,판화,씨앗페,SAF2026,미술,예술,작품","B","1000000","1000000","1000000","1000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","237.jpeg","237.jpeg","237.jpeg","237.jpeg","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
