"상품코드","자체 상품코드","진열상태","판매상태","상품분류 번호","상품분류 신상품영역","상품분류 추천상품영역","상품명","영문 상품명","상품명(관리용)","공급사 상품명","모델명","상품 요약설명","상품 간략설명","상품 상세설명","모바일 상품 상세설명 설정","모바일 상품 상세설명","검색어설정","과세구분","소비자가","공급가","상품가","판매가","판매가 대체문구 사용","판매가 대체문구","주문수량 제한 기준","최소 주문수량(이상)","최대 주문수량(이하)","적립금","적립금 구분","공통이벤트 정보","성인인증","옵션사용","품목 구성방식","옵션 표시방식","옵션세트명","옵션입력","옵션 스타일","버튼이미지 설정","색상 설정","필수여부","품절표시 문구","추가입력옵션","추가입력옵션 명칭","추가입력옵션 선택/필수여부","입력글자수(자)","이미지등록(상세)","이미지등록(목록)","이미지등록(작은목록)","이미지등록(축소)","이미지등록(추가)","제조사","공급사","브랜드","트렌드","자체분류 코드","제조일자","출시일자","유효기간 사용여부","유효기간","원산지","상품부피(cm)","상품결제안내","상품배송안내","교환/반품안내","서비스문의/안내","배송정보","배송방법","국내/해외배송","배송지역","배송비 선결제 설정","배송기간","배송비 구분","배송비입력","스토어픽업 설정","상품 전체중량(kg)","HS코드","상품 구분(해외통관)","상품소재","영문 상품소재(해외통관)","옷감(해외통관)","검색엔진최적화(SEO) 검색엔진 노출 설정","검색엔진최적화(SEO) Title","검색엔진최적화(SEO) Author","검색엔진최적화(SEO) Description","검색엔진최적화(SEO) Keywords","검색엔진최적화(SEO) 상품 이미지 Alt 텍스트","개별결제수단설정","상품배송유형 코드","메모"
"","SAF2026-35","Y","Y","43","Y","Y","섬진淸流-2 - 김준권","","[35] 김준권","","","목판화 | 수묵목판 | 35x55cm","김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.  목판화 작업을 통해 민중미술운동에 참여한 작가이기도 하다. 작가는 1980년대 미술교육운동에 몰두하던 시기에 리놀륨...","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">섬진淸流-2</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김준권</p><p style=""color: #888;"">수묵목판 | 35x55cm | 2020</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.

목판화 작업을 통해 민중미술운동에 참여한 작가이기도 하다. 작가는 1980년대 미술교육운동에 몰두하던 시기에 리놀륨 판화(Linoleum cut) 작업으로, 민중목판화의 양식적 특성을 보여준다. 대동세상을 꿈꾸는 농민운동 지도자인 전봉준(全琫準)을 소재로 전통회화 양식, 특히 불화 중 '수월관음도(水月觀音圖)'의 양식을 참고하여 제작하며 명확하고 정직한 구성으로 전통에 대한 관심을 보여주었다.
김준권의 수성 다색목판화는 한국 현대 산수화의 방향을 제시할 만큼 독보적 위치를 점유하고 있다고 판단된다. 조선후기 진경산수화의 겸재 정선이나 단원 김홍도를 계승한 조형미를 떠오르게 하여 반갑기 짝이 없다. 현실의식을 기반으로 하는 국토사랑, 부지런한 발품, 생거진천(生居鎭川)의 땅에서 받는 에너지, 다년간 축적된 판화기술과 예술적 완숙, 한 작품에 대여섯 판 이상 파고 찍는 강도 높은 노동을 감내하는 장인정신 등이 돋보인다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">1955 전남 영암 출생
1982 홍익대학교 졸업(서양화)
1994~1997 중국 루쉰(魯迅) 미술대학 목판화 연구원 / 객원교수
1996~ 중국 루쉰(魯迅) 미술대학 명예 부교수
2017~ 한국 목판문화원 원장, 커뮤니티 목판대학
2022 우석대 공공정책대학원 객원교수

개인전 (최근)
2024
김준권 木版畫展 어머니의 땅을 걷다. (서울 아르떼 숲)
김준권 木版畫展 백두대간에 서다. (영암 하정웅 미술관)
김준권 木版畫展 백두대간에 스미다. (청주 충남대 대통령기록관 기획전시실)
2022~2023
KIM JOON KWON WALKING THE MOTHERLAND 김준권 목판화전 (진천 생거판화미술관)

주요 작품 소장처
국내
국립현대미술관, 정부미술은행, 서울시립미술관, 제주현대미술관, 광주시립미술관, 청주시립미술관,
영암 하정웅미술관, 대한민국 국회(기증) 등
해외
중국미술관, 중국 판화박물관, 루쉰(魯迅)대 미술관 등</p></div></div>","A","","김준권,목판화,씨앗페,SAF2026,미술,예술,작품","B","4000000","4000000","4000000","4000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-36","Y","Y","43","Y","Y","Blue Mt. -3 - 김준권","","[36] 김준권","","","목판화 | 채묵목판 | 50x33cm","김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.  목판화 작업을 통해 민중미술운동에 참여한 작가이기도 하다. 작가는 1980년대 미술교육운동에 몰두하던 시기에 리놀륨...","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Blue Mt. -3</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김준권</p><p style=""color: #888;"">채묵목판 | 50x33cm | 2020</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.

목판화 작업을 통해 민중미술운동에 참여한 작가이기도 하다. 작가는 1980년대 미술교육운동에 몰두하던 시기에 리놀륨 판화(Linoleum cut) 작업으로, 민중목판화의 양식적 특성을 보여준다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">1955 전남 영암 출생
1982 홍익대학교 졸업(서양화)
1994~1997 중국 루쉰(魯迅) 미술대학 목판화 연구원 / 객원교수

주요 작품 소장처
국립현대미술관, 서울시립미술관, 중국미술관 등</p></div></div>","A","","김준권,목판화,씨앗페,SAF2026,미술,예술,작품","B","3000000","3000000","3000000","3000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-37","Y","Y","43","Y","Y","푸른 소나무 - 김준권","","[37] 김준권","","","목판화 | 유성목판 | 45x80cm","김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">푸른 소나무</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김준권</p><p style=""color: #888;"">유성목판 | 45x80cm | 2023</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">1955 전남 영암 출생
1982 홍익대학교 졸업(서양화)
국립현대미술관, 서울시립미술관 등 소장</p></div></div>","A","","김준권,목판화,씨앗페,SAF2026,미술,예술,작품","B","8000000","8000000","8000000","8000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-38","Y","Y","43","Y","Y","Blue Night -4 - 김준권","","[38] 김준권","","","목판화 | 유성목판 | 20x14cm","김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Blue Night -4</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김준권</p><p style=""color: #888;"">유성목판 | 20x14cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">1955 전남 영암 출생
1982 홍익대학교 졸업(서양화)</p></div></div>","A","","김준권,목판화,씨앗페,SAF2026,미술,예술,작품","B","1000000","1000000","1000000","1000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-39","Y","Y","43","Y","Y","Blue Moon-3 - 김준권","","[39] 김준권","","","목판화 | 유성목판 | 30x20cm","김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">Blue Moon-3</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김준권</p><p style=""color: #888;"">유성목판 | 30x20cm | 2025</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김준권은 1956년 전남 영암 출생으로 1982년 홍익대학교 서양화 졸업, 1994년부터 1997년까지 중국 魯迅미술대학 목판화 연구원으로 활동했으며, 1997년에 한국 목판문화 연구소를 개설해 계속해서 목판화 작업을 이어나가고 있다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">1955 전남 영암 출생
1982 홍익대학교 졸업(서양화)</p></div></div>","A","","김준권,목판화,씨앗페,SAF2026,미술,예술,작품","B","2000000","2000000","2000000","2000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-40","Y","Y","43","Y","Y","달을 든 여인 - 한애규","","[40] 한애규","","","조각 | 테라코타 | 확인 중","한애규(b.1953)는 서울대학교에서 응용미술과와 동 대학원에서 도예를 전공하고 프랑스 앙굴렘 미술학교를 졸업하였다. 국내외 다수의 개인전과 단체전에 참여하였으며 주요 개인전으로는 《흙의 감정, 흙의 여정》(갤러리세줄, 2024), 《Beside》 (아트사이드 갤러리, 서울, 2022), 《푸른 길》 (아트사이드 갤러리, 서울, 2018) 등이 있다....","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">달을 든 여인</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">한애규</p><p style=""color: #888;"">테라코타 | 확인 중 | 2021</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">한애규(b.1953)는 서울대학교에서 응용미술과와 동 대학원에서 도예를 전공하고 프랑스 앙굴렘 미술학교를 졸업하였다. 국내외 다수의 개인전과 단체전에 참여하였으며 주요 개인전으로는 《흙의 감정, 흙의 여정》(갤러리세줄, 2024), 《Beside》 (아트사이드 갤러리, 서울, 2022), 《푸른 길》 (아트사이드 갤러리, 서울, 2018) 등이 있다. 주요 소장처로는 국립현대미술관, 서울시립미술관, 서울역사박물관, 대전시립미술관, 전북도립미술관 등이 있다.</p></div></div>","A","","한애규,조각,씨앗페,SAF2026,미술,예술,작품","B","2000000","2000000","2000000","2000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-41","Y","Y","43","Y","Y","사소한 일상 - 심현희","","[41] 심현희","","","회화 | 캔버스에 아크릴 | 35x28cm","심현희는 1980년대 후반부터 1990년대에 이르기까지 한국 화단에 존재했던 이분법적 틀을 거부하고 독자적인 노선을 견지해 온 작가입니다. 서울대학교 미술대학과 동 대학원에서 동양화를 전공하며 수묵과 인물 중심의 정통 교육을 이수했으나, 그는 당시 화단을 지배하던 민중미술의 거대 서사나 기성 동양화단의 수묵 중심주의 중 어디에도 안주하지 않았습니다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">사소한 일상</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">심현희</p><p style=""color: #888;"">캔버스에 아크릴 | 35x28cm | 2022</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">심현희는 1980년대 후반부터 1990년대에 이르기까지 한국 화단에 존재했던 이분법적 틀을 거부하고 독자적인 노선을 견지해 온 작가입니다. 서울대학교 미술대학과 동 대학원에서 동양화를 전공하며 수묵과 인물 중심의 정통 교육을 이수했으나, 그는 당시 화단을 지배하던 민중미술의 거대 서사나 기성 동양화단의 수묵 중심주의 중 어디에도 안주하지 않았습니다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">서울대학교 미술대학 회화과 및 동 대학원 졸업

<개인전>
1990 금호 미술관
1991 송원화랑
1992 토 아트 스페이스
1996 금호 미술관
1999 동산방 화랑

<수상>
1982 중앙미술대전 장려상</p></div></div>","A","","심현희,회화,씨앗페,SAF2026,미술,예술,작품","B","2500000","2500000","2500000","2500000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-42","Y","Y","43","Y","Y","책의 무게 - 류준화","","[42] 류준화","","","회화 | 캔버스에 아크릴 | 45.5x38cm","류준화는 1990년대부터 현재까지 한국 여성주의 미술의 최전선에서 활동하며, 가부장적 사회가 규정한 여성의 역할을 해체하고 그 속에 감춰진 억압의 굴레를 시각화해 온 작가입니다. 그의 예술 세계는 단순히 여성을 묘사하는 데 그치지 않고, 사회적 금기에 도전하거나 남성 중심적인 시각 시스템을 전복시키는 강력한 예술적 실천을 지향합니다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">책의 무게</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">류준화</p><p style=""color: #888;"">캔버스에 아크릴 | 45.5x38cm | 2023</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">류준화는 1990년대부터 현재까지 한국 여성주의 미술의 최전선에서 활동하며, 가부장적 사회가 규정한 여성의 역할을 해체하고 그 속에 감춰진 억압의 굴레를 시각화해 온 작가입니다. 그의 예술 세계는 단순히 여성을 묘사하는 데 그치지 않고, 사회적 금기에 도전하거나 남성 중심적인 시각 시스템을 전복시키는 강력한 예술적 실천을 지향합니다.</p></div></div>","A","","류준화,회화,씨앗페,SAF2026,미술,예술,작품","B","2800000","2800000","2800000","2800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-43","Y","Y","43","Y","Y","날마다 - 최경선","","[43] 최경선","","","회화 | Oil on canvas | 53x41.2cm","최경선 작가는 자연을 소재로 꾸준히 삶의 생동, 슬픔, 치유 등을 화폭에 담아왔다. 이번 전시에서 새롭게 선보이는 신작을 포함한 작품들은 '마음의 유영(遊泳)'을 표현한 작품들이다. 작가는 공중제비와 같은 마음의 동선에 대해 자주 사유한다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">날마다</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">최경선</p><p style=""color: #888;"">Oil on canvas | 53x41.2cm | 2022</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">최경선 작가는 자연을 소재로 꾸준히 삶의 생동, 슬픔, 치유 등을 화폭에 담아왔다. 이번 전시에서 새롭게 선보이는 신작을 포함한 작품들은 '마음의 유영(遊泳)'을 표현한 작품들이다. 작가는 공중제비와 같은 마음의 동선에 대해 자주 사유한다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">개인전
2020년 '미동' / 자하미술관, 서울
2019년 '生·물(水)' / 나무화랑, 서울
2017년 '귀가' / 창룡마을창작센터, 경기
2017년 '비오톱의 저녁' / 나무화랑, 서울
2015년 '흐르는 빛' / 오산시립미술관, 경기</p></div></div>","A","","최경선,회화,씨앗페,SAF2026,미술,예술,작품","B","2800000","2800000","2800000","2800000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAF2026-44","Y","Y","43","Y","Y","내 손끝에 은하수 - 김주호","","[44] 김주호","","","조각 | 질구이 | 확인 중","김주호는 서울대학교 미술대학 조소과와 동 대학원을 졸업하고, <사람사이>(관훈갤러리, 2012), <생생풍경>(가회동 60, 2012) 개인전 및 다수의 기획전에 참여해 왔으며 국립현대미술관, 대전시립미술관, 소마미술관 등에 작품이 소장되어 있다.","<div style=""font-family: 'Noto Sans KR', sans-serif; line-height: 1.8; color: #333;""><div style=""margin-bottom: 30px;""><h2 style=""font-size: 24px; margin-bottom: 10px;"">내 손끝에 은하수</h2><p style=""font-size: 18px; color: #666; margin-bottom: 5px;"">김주호</p><p style=""color: #888;"">질구이 | 확인 중 | 2020</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 소개</h3><p style=""white-space: pre-line;"">김주호는 서울대학교 미술대학 조소과와 동 대학원을 졸업하고, <사람사이>(관훈갤러리, 2012), <생생풍경>(가회동 60, 2012) 개인전 및 다수의 기획전에 참여해 왔으며 국립현대미술관, 대전시립미술관, 소마미술관 등에 작품이 소장되어 있다.</p></div><div style=""margin-bottom: 30px;""><h3 style=""font-size: 18px; border-bottom: 1px solid #ddd; padding-bottom: 10px; margin-bottom: 15px;"">작가 이력</h3><p style=""white-space: pre-line; font-size: 14px;"">학력
1986 서울대학교 대학원 조소과 졸업
1976 서울대학교 미술대학 조소과 졸업

작품 소장
국립현대미술관, 대전시립미술관, 소마미술관, 모란미술관 등</p></div></div>","A","","김주호,조각,씨앗페,SAF2026,미술,예술,작품","B","3000000","3000000","3000000","3000000","N","","","1","1","","","","N","N","","","","","","","","","품절","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
