이름,이미지,작품명,재료,크기,년도,에디션 넘버,가격,프로필,작가노트,작가 이력,이미지파일명
한미영,,연인,"mixed media on canvas (acrylic, gold leaf, )",90.9x65.1cm,2024,,"₩800,000",,,"2024
구로구 지원 청년이룸 개인전 Love All

2026
씨앗페 전시 예술의 씨앗, 숲을 이루다 한국스마트협동조합

2025
MEDEL GALLERY / SHU X GALLERY / VINCI
문래 아트페어
순환 틈 : 모든 게 사라지고 ○○만 남았다

2024
프로젝트 스페이스 가제

2023
제7회 아트 오일장 이화
2023 아시아프
2023.04
Academic VIVIDROOM

2023 단국대학교 서양화과 학사 졸업

2022 〈ON AIR〉
단국대학교 졸업전시
7월의 작가전 환, 2인전
Drawinging
서고정 초대전
다색[ ]화

제50회 구상전 공모대전 - 서울 공모대전 입상",228
한미영,,Free will,"mixed media on canvas (acrylic, gold leaf, wax paint)",72.7x53.0cm,2024,,"₩550,000",,,"2024
구로구 지원 청년이룸 개인전 Love All

2026
씨앗페 전시 예술의 씨앗, 숲을 이루다 한국스마트협동조합

2025
MEDEL GALLERY / SHU X GALLERY / VINCI
문래 아트페어
순환 틈 : 모든 게 사라지고 ○○만 남았다

2024
프로젝트 스페이스 가제

2023
제7회 아트 오일장 이화
2023 아시아프
2023.04
Academic VIVIDROOM

2023 단국대학교 서양화과 학사 졸업

2022 〈ON AIR〉
단국대학교 졸업전시
7월의 작가전 환, 2인전
Drawinging
서고정 초대전
다색[ ]화

제50회 구상전 공모대전 - 서울 공모대전 입상",229
양순열,,Ottogi Chrome Rainbow (purple top),Car paint on resin,600 x 600 x 1300mm,2022,,"₩35,000,000","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.",,,230
양순열,,Ottogi Chrome Rainbow (blue top),Car paint on resin,600 x 600 x 1300mm,2022,,"₩35,000,000","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.",,,231
양순열,,Ottogi Earthy Rainbow,Car paint on resin,400 × 400 × 900 mm,2021,,"₩18,500,000","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.",,,232
양순열,,Ottogi Earthy Rainbow Matte,Car paint on resin,400 × 400 × 650 mm,2021,,"₩12,600,000","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.",,,233
양순열,,Ottogi_Mother Ya-ho,Car paint on resin,550 × 550 × 1200 mm,2014,,"₩25,000,000","작가 양순열은 회화와 조각 등 다양한 장르를 넘나드는 컨템포리 아티스트다. 작가가 평생에 걸쳐 작업을 수행해온 주제는 존재와 사물 일반에 대한 깊은 시적 공감과 연관된 것이다. 특히 그녀는 확장된 모성의 회복을 통해 이 시대가 처한 위기의 극복과, 인간/사물/자연 사이의 영적 교감의 가능성을 탐색한다.",,,234
이윤엽,,무슨일 있어?,,9.5x14cm,2022,,"₩200,000","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.

이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.",,"025 잘린문장 열린광장 (민주화 운동 기념관)
2024 개인전 시간이 조금 걸리더라도  (동두천 생태평화 미술관 더꿈)
2020 판화,판화,판화,(국립현대미술관)
2019광장 미술과사회(국립현대미술관)
2017 층과층사이 -과천현대미술관
2015 광주비엔날레 20주년 특별전 (광주시립미술관)

16섯번의 개인전과 그룹전 다수 
2012 구본주 예술상수상 

국립현대 미술관 경기도 미술관 일본 사키마 미술관,후쿠오카 아시아미술관 등 작품소장
저서/나는 농부란다, 시간이 조금걸리도라도 등",235
이윤엽,,좋은소식,다색목판 48장 중에서,27x39.5cm,2025,,"₩500,000","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.

이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.",,"025 잘린문장 열린광장 (민주화 운동 기념관)
2024 개인전 시간이 조금 걸리더라도  (동두천 생태평화 미술관 더꿈)
2020 판화,판화,판화,(국립현대미술관)
2019광장 미술과사회(국립현대미술관)
2017 층과층사이 -과천현대미술관
2015 광주비엔날레 20주년 특별전 (광주시립미술관)

16섯번의 개인전과 그룹전 다수 
2012 구본주 예술상수상 

국립현대 미술관 경기도 미술관 일본 사키마 미술관,후쿠오카 아시아미술관 등 작품소장
저서/나는 농부란다, 시간이 조금걸리도라도 등",236
이윤엽,,새로운 날,다색목판,26.5x80.4cm,,,"₩1,000,000","이윤엽은 농부나 노동자, 주변의 소박한 사물들을 재치 있게 표현하는데 흰 여백 위에 굵은 선을 사용하여 투박하면서도 정겨운 목판화의 특징을 잘 보여준다. 그에게 목판화는 나무를 깎고 작업의 도구를 다루며 그의 몸을 움직이게 만드는 매체로써, 노동을 이해하는 사람들 사이의 공감을 만들어 내거나 노동의 가치 그 자체에 대한 이해를 이끌어내는 방법이기도 하다.

이윤엽은 공장 바닥에 까는 고무판을 사용해서 조각도로 깎아냈다. <산드래미 최씨>(1996)는 이윤엽의 첫 판화 작품으로서 당시 작가가 살던 집 근처에 살고 있던 이웃 농민을 재현한 것이다. 첫 작품 이후 작가는 본격적으로 판화를 본인의 매체로 사용하게 되는데, 특히 스스로를 ‘파견미술가’라고 부르며 파업 시위 현장 등에서 노동자들과 함께 판화를 제작하는 액티비스트로서의 작가의 면모를 드러내게 된다.",,"025 잘린문장 열린광장 (민주화 운동 기념관)
2024 개인전 시간이 조금 걸리더라도  (동두천 생태평화 미술관 더꿈)
2020 판화,판화,판화,(국립현대미술관)
2019광장 미술과사회(국립현대미술관)
2017 층과층사이 -과천현대미술관
2015 광주비엔날레 20주년 특별전 (광주시립미술관)

16섯번의 개인전과 그룹전 다수 
2012 구본주 예술상수상 

국립현대 미술관 경기도 미술관 일본 사키마 미술관,후쿠오카 아시아미술관 등 작품소장
저서/나는 농부란다, 시간이 조금걸리도라도 등",237
