이름,이미지,작품명,재료,크기,년도,에디션 넘버,가격,프로필,작가노트,작가 이력,이미지파일명
민정기,, 속리산 돌거북,캔버스에 유채,60.6x45.5,2025,12호,"₩18,000,000","민정기(閔晶基, Min Joung-Ki, b.1949)는 ‘현실과 발언’ 창립회원으로 1979년말 ‘현실과 발언’ 창립 초기부터 공식적 해체기(1990)까지 민중미술진영의 주요 작가로서 참여했으며, 또한 90년대 이후부터는 경기도 양평으로 거소를 옮겨 ‘산과 땅과 더불어 살아가는’ 인간의 삶의 회화적 기록이라 이름할 산수화, 화훼화를 그려내고 있다. 민정기의 작품세계는 초기, 소위 ‘이발소그림’으로 통칭되는 촌스럽고 세련되지 않은 그림을 다시 모방해 고급미술의 회랑에 내놓았다. ‘통속’의 사회에서 통속적으로 살고 있다는 우리 모두의 자의식을 건드린 것이다. 반미학적 다다이스트적 기획이라는 점에서 음울한 시대의 알레고리로 읽혀졌다.
이후 그는 숲으로 향해 걸어갔다. 그러나 정확히는 땅을 향해, 역사의 지층을 향해서다. 그러다가 그는 저잣거리로 나선다. 길, 도로, 강물의 흐름을 따라가는 것이다. 그것은 ‘오늘로 향하는 길’이다. 모든 것이 실증화(positivity)되어가는 세계의 방향, 모든 것이 깨끗해저만 가는 미술의 방향과 어긋나는 길이다. 또한 양평 시대의 ‘산수화’들은 산세와 지세 가운데 삶의 거처를 정하고, 이를 풍수(風水)의 지혜로 여겼던 옛사람들의 흔적을 좇아 시각화함으로써 동시대적 삶과의 그 거리를 통각하게 한다는 점에서 그의 소박하고 대중적인 삶의 진지한 감정에 대한 여전한 애정과 건강한 연민을 확인하게 된다.
초기, 민중적 삶의 그늘진 길모퉁이를 외면하지 못했던 연민의 시선으로부터 그 삶의 시간의 지층을 파들어가는 인류학적 통찰에로 나아간 길, 풍경의 그늘, 회화의 그늘이라 이름할 이유다.",,,218
민정기,,서후리에서 - 벼베기,캔버스에 유채,45.5x53,2025,10호,"₩18,000,000","민정기(閔晶基, Min Joung-Ki, b.1949)는 ‘현실과 발언’ 창립회원으로 1979년말 ‘현실과 발언’ 창립 초기부터 공식적 해체기(1990)까지 민중미술진영의 주요 작가로서 참여했으며, 또한 90년대 이후부터는 경기도 양평으로 거소를 옮겨 ‘산과 땅과 더불어 살아가는’ 인간의 삶의 회화적 기록이라 이름할 산수화, 화훼화를 그려내고 있다. 민정기의 작품세계는 초기, 소위 ‘이발소그림’으로 통칭되는 촌스럽고 세련되지 않은 그림을 다시 모방해 고급미술의 회랑에 내놓았다. ‘통속’의 사회에서 통속적으로 살고 있다는 우리 모두의 자의식을 건드린 것이다. 반미학적 다다이스트적 기획이라는 점에서 음울한 시대의 알레고리로 읽혀졌다.
이후 그는 숲으로 향해 걸어갔다. 그러나 정확히는 땅을 향해, 역사의 지층을 향해서다. 그러다가 그는 저잣거리로 나선다. 길, 도로, 강물의 흐름을 따라가는 것이다. 그것은 ‘오늘로 향하는 길’이다. 모든 것이 실증화(positivity)되어가는 세계의 방향, 모든 것이 깨끗해저만 가는 미술의 방향과 어긋나는 길이다. 또한 양평 시대의 ‘산수화’들은 산세와 지세 가운데 삶의 거처를 정하고, 이를 풍수(風水)의 지혜로 여겼던 옛사람들의 흔적을 좇아 시각화함으로써 동시대적 삶과의 그 거리를 통각하게 한다는 점에서 그의 소박하고 대중적인 삶의 진지한 감정에 대한 여전한 애정과 건강한 연민을 확인하게 된다.
초기, 민중적 삶의 그늘진 길모퉁이를 외면하지 못했던 연민의 시선으로부터 그 삶의 시간의 지층을 파들어가는 인류학적 통찰에로 나아간 길, 풍경의 그늘, 회화의 그늘이라 이름할 이유다.",,,219
민정기,,포옹,실크스크린(판화),40.2x52,2025,"14, 16, 18","₩1,000,000","민정기(閔晶基, Min Joung-Ki, b.1949)는 ‘현실과 발언’ 창립회원으로 1979년말 ‘현실과 발언’ 창립 초기부터 공식적 해체기(1990)까지 민중미술진영의 주요 작가로서 참여했으며, 또한 90년대 이후부터는 경기도 양평으로 거소를 옮겨 ‘산과 땅과 더불어 살아가는’ 인간의 삶의 회화적 기록이라 이름할 산수화, 화훼화를 그려내고 있다. 민정기의 작품세계는 초기, 소위 ‘이발소그림’으로 통칭되는 촌스럽고 세련되지 않은 그림을 다시 모방해 고급미술의 회랑에 내놓았다. ‘통속’의 사회에서 통속적으로 살고 있다는 우리 모두의 자의식을 건드린 것이다. 반미학적 다다이스트적 기획이라는 점에서 음울한 시대의 알레고리로 읽혀졌다.
이후 그는 숲으로 향해 걸어갔다. 그러나 정확히는 땅을 향해, 역사의 지층을 향해서다. 그러다가 그는 저잣거리로 나선다. 길, 도로, 강물의 흐름을 따라가는 것이다. 그것은 ‘오늘로 향하는 길’이다. 모든 것이 실증화(positivity)되어가는 세계의 방향, 모든 것이 깨끗해저만 가는 미술의 방향과 어긋나는 길이다. 또한 양평 시대의 ‘산수화’들은 산세와 지세 가운데 삶의 거처를 정하고, 이를 풍수(風水)의 지혜로 여겼던 옛사람들의 흔적을 좇아 시각화함으로써 동시대적 삶과의 그 거리를 통각하게 한다는 점에서 그의 소박하고 대중적인 삶의 진지한 감정에 대한 여전한 애정과 건강한 연민을 확인하게 된다.
초기, 민중적 삶의 그늘진 길모퉁이를 외면하지 못했던 연민의 시선으로부터 그 삶의 시간의 지층을 파들어가는 인류학적 통찰에로 나아간 길, 풍경의 그늘, 회화의 그늘이라 이름할 이유다.",,,220
민정기,,추수,실크스크린(판화),57x41.5,2025,"14, 16, 18","₩1,000,000
(액자별도)","민정기(閔晶基, Min Joung-Ki, b.1949)는 ‘현실과 발언’ 창립회원으로 1979년말 ‘현실과 발언’ 창립 초기부터 공식적 해체기(1990)까지 민중미술진영의 주요 작가로서 참여했으며, 또한 90년대 이후부터는 경기도 양평으로 거소를 옮겨 ‘산과 땅과 더불어 살아가는’ 인간의 삶의 회화적 기록이라 이름할 산수화, 화훼화를 그려내고 있다. 민정기의 작품세계는 초기, 소위 ‘이발소그림’으로 통칭되는 촌스럽고 세련되지 않은 그림을 다시 모방해 고급미술의 회랑에 내놓았다. ‘통속’의 사회에서 통속적으로 살고 있다는 우리 모두의 자의식을 건드린 것이다. 반미학적 다다이스트적 기획이라는 점에서 음울한 시대의 알레고리로 읽혀졌다.
이후 그는 숲으로 향해 걸어갔다. 그러나 정확히는 땅을 향해, 역사의 지층을 향해서다. 그러다가 그는 저잣거리로 나선다. 길, 도로, 강물의 흐름을 따라가는 것이다. 그것은 ‘오늘로 향하는 길’이다. 모든 것이 실증화(positivity)되어가는 세계의 방향, 모든 것이 깨끗해저만 가는 미술의 방향과 어긋나는 길이다. 또한 양평 시대의 ‘산수화’들은 산세와 지세 가운데 삶의 거처를 정하고, 이를 풍수(風水)의 지혜로 여겼던 옛사람들의 흔적을 좇아 시각화함으로써 동시대적 삶과의 그 거리를 통각하게 한다는 점에서 그의 소박하고 대중적인 삶의 진지한 감정에 대한 여전한 애정과 건강한 연민을 확인하게 된다.
초기, 민중적 삶의 그늘진 길모퉁이를 외면하지 못했던 연민의 시선으로부터 그 삶의 시간의 지층을 파들어가는 인류학적 통찰에로 나아간 길, 풍경의 그늘, 회화의 그늘이라 이름할 이유다.",,,221
서공임,,영웅,"한지, 수간분채",65x95cm,2020,,"₩7,000,000","서공임 작가는 40년 넘게 민화 외길을 걸어온 한국의 대표적인 현대 민화가로, 전통 민화의 맥을 잇되 세련된 색감과 현대적 감각을 더해 독자적인 작품 세계를 구축했으며, 《민화 컬러링 위시북》 등 저술 활동과 함께 민화의 대중화 및 국제화에 힘쓰고 있는 민화 대가다.",,,222
서공임,,영웅,"한지, 수간분채",65x95cm,2020,,"₩7,000,000","서공임 작가는 40년 넘게 민화 외길을 걸어온 한국의 대표적인 현대 민화가로, 전통 민화의 맥을 잇되 세련된 색감과 현대적 감각을 더해 독자적인 작품 세계를 구축했으며, 《민화 컬러링 위시북》 등 저술 활동과 함께 민화의 대중화 및 국제화에 힘쓰고 있는 민화 대가다.",,,223
김수오,,오름의아침,Pigment ink on FineArt Paper print,70x40,20216,,"₩1,000,000","나는 전자공학을 전공한 후 한의사의 길을 걸으면서 카메라를 들었다.
낮에는 한의원에서 아픈 사람들을 진료하고, 새벽과 밤에는 카메라를 들고 중산간 들판과 오름을 다니며 사라져가는 화산섬 제주의 풍광을 담고 있다.
깊은 밤 제주섬 중산간 들판에서 홀로 마나던 황홀한 풍광들. 별들과 달빛 아래 펼쳐진 오름의 부드러운 실루엣은 그 어떤 경치보다 평화롭고 따뜻한 감동을 불러 일으킨다.

특히 야생의 제주 들판에서 태어나 한여름 비바람과 한겨울 눈보라를 온몸으로 견디며 살아가는 제주마들의 삶을 수년째 내밀하게 담아왔다. 나의 사진에 담긴 제주마, 소, 까마귀는 척박한 제주 산야에 순응하며 삶을 일궈온 제주민초들을 상징한다. 자연 그대로가 아름다운 제주 산야의 아름다움이 각종 난개발로 사라져가는 현실을 목도하며 채 사라지지 않은 제주의 속살을 담기 위해 오늘도 새벽과 저녁이면 카메라 가방을 메고 들판으로 나선다.",,"<학력>
서울대학교 전자공학과 졸업
경희대학교 한의대 박사

<전시 경력>

개인전
2022 신들의 땅, 갤러리 큰바다영, 제주
2024 가닿음으로, 갤러리 누보, 제주

단체전
제주의 자연과 평화를 위한 다수의 단체전에 참여",224
김수오,,겨울한라산,Pigment ink on FineArt Paper print,70x40,2017,,"₩1,000,000","나는 전자공학을 전공한 후 한의사의 길을 걸으면서 카메라를 들었다.
낮에는 한의원에서 아픈 사람들을 진료하고, 새벽과 밤에는 카메라를 들고 중산간 들판과 오름을 다니며 사라져가는 화산섬 제주의 풍광을 담고 있다.
깊은 밤 제주섬 중산간 들판에서 홀로 마나던 황홀한 풍광들. 별들과 달빛 아래 펼쳐진 오름의 부드러운 실루엣은 그 어떤 경치보다 평화롭고 따뜻한 감동을 불러 일으킨다.

특히 야생의 제주 들판에서 태어나 한여름 비바람과 한겨울 눈보라를 온몸으로 견디며 살아가는 제주마들의 삶을 수년째 내밀하게 담아왔다. 나의 사진에 담긴 제주마, 소, 까마귀는 척박한 제주 산야에 순응하며 삶을 일궈온 제주민초들을 상징한다. 자연 그대로가 아름다운 제주 산야의 아름다움이 각종 난개발로 사라져가는 현실을 목도하며 채 사라지지 않은 제주의 속살을 담기 위해 오늘도 새벽과 저녁이면 카메라 가방을 메고 들판으로 나선다.",,"<학력>
서울대학교 전자공학과 졸업
경희대학교 한의대 박사

<전시 경력>

개인전
2022 신들의 땅, 갤러리 큰바다영, 제주
2024 가닿음으로, 갤러리 누보, 제주

단체전
제주의 자연과 평화를 위한 다수의 단체전에 참여",225
김수오,,겨울중산간,Pigment ink on FineArt Paper print,70x46,2020,,"₩1,000,000","나는 전자공학을 전공한 후 한의사의 길을 걸으면서 카메라를 들었다.
낮에는 한의원에서 아픈 사람들을 진료하고, 새벽과 밤에는 카메라를 들고 중산간 들판과 오름을 다니며 사라져가는 화산섬 제주의 풍광을 담고 있다.
깊은 밤 제주섬 중산간 들판에서 홀로 마나던 황홀한 풍광들. 별들과 달빛 아래 펼쳐진 오름의 부드러운 실루엣은 그 어떤 경치보다 평화롭고 따뜻한 감동을 불러 일으킨다.

특히 야생의 제주 들판에서 태어나 한여름 비바람과 한겨울 눈보라를 온몸으로 견디며 살아가는 제주마들의 삶을 수년째 내밀하게 담아왔다. 나의 사진에 담긴 제주마, 소, 까마귀는 척박한 제주 산야에 순응하며 삶을 일궈온 제주민초들을 상징한다. 자연 그대로가 아름다운 제주 산야의 아름다움이 각종 난개발로 사라져가는 현실을 목도하며 채 사라지지 않은 제주의 속살을 담기 위해 오늘도 새벽과 저녁이면 카메라 가방을 메고 들판으로 나선다.",,"<학력>
서울대학교 전자공학과 졸업
경희대학교 한의대 박사

<전시 경력>

개인전
2022 신들의 땅, 갤러리 큰바다영, 제주
2024 가닿음으로, 갤러리 누보, 제주

단체전
제주의 자연과 평화를 위한 다수의 단체전에 참여",226
우용민,,병오마 2,한지에 먹,71X36,2026,,"₩700,000",,,"개인전 2025 수묵_사군자展 행촌미술관, 해남
       2024 하늘이 내린천 인제가 가꾼 자작나무(기적의 도서관 인제) 
       2023 페르마노 (두인미술관 서울)  
       2022 화엄지리展(화엄사 성보박물관) 범 내려온다. 복 내려온다(신안), 
       2021 김환기 고택의 달과 별展(김환기고택)
       2020 두륜展(해남,행촌미술관)  
       2019 탕진수묵展(서울,인영갤러리)
       2017 예술인센터(서울)
       2005 이형갤러리

그룹전
      2025 2025세화전 <푸른꿈> 행촌미술관, 여행스케치(스페이스결 서울)
      2024 시적인 풍경(노스부르가갤러리 인스부르그 오스트리아) 해남은 봄부터 미술관展(해남문화               예술회관 해남) 해남의 아름다운 맛展(해남문화예술회관 해남)  먹빛-畵답하다(안동예술의전당)              후소회전(라메르갤러리) 진심경전(인사아트프라자) 안평안견예술정신전(한벽원갤러리) 
            붓이 옳다(동덕갤러리) 국제아트페스티발(치앙마이 태국)
      2023  2023전남국제수묵비엔날레, 17회포창국제아트페스티발(방콕), 진심경(인사아트프라자)
             보구곷에 매화향기 퍼지고. 전(보구곶 작은미술관), 
       2022  축척된 즉흥전(전남갤러리), 풍류남도 아트프로젝트 몽류임하(행촌미술관)
              우용민,박태준 2인전(행촌미술관)
       2021  제1회 김환기미술제(달빛,바다에 빠지다.김환기고택) 
                 축척된 즉흥전(갤러리 j&g)
                 한국화 구상회전(인사아트 프라자)
                 2021전남국제수묵비엔날레 해남전
       2020 맨드라미 시들지않은...(저녁노을미술관)
             구상부스전(인사아트프라자)
             둔장마을미술관개관전
       2019 해돋이전(윤갤러리)
             붓을따라가다(스페이스 날집)
             풍류남도 아트프로젝트-봄(수윤미술관) 
             해남 국제 수묵워크샵 
             경북 독립운동 유적지 그림전(경북도청) 
             구상회전(인사아트프라자).
             공재 그리고 화가의 자화상전(행촌미술관)
       2018 동방채묵전(영월) 
             전남 국제 수묵 비엔날레(종가의 향기)
             남도밥상전(인영갤러리)
             바림전(대전시청)           
       2017 전남국제 수묵비엔날레
             풍류남도 아트 프로젝트-수묵남도
             미황사전(학고재)
             탕진수묵전(동덕갤러리) 
       2016  탕진수묵전
 수상
   2005,특선,무등미술대전    
   2004,입선,서울미술대상전
   1989,입선,국전   
   1988,입선,목우회 

작품소장
2020년 행촌미술관 <두륜> 2020, 198X545cm  한지에 먹  
2023년 전남 도립미술관 <눈꽃> 2022, 180*720, 한지에 먹,  
2024년 Gallery Northbruga <설송호랑이> 한지에 먹 2022_145x74cm 
2023년 전남 도립미술관 <지리산 반야봉181x360cm 2022> 
2025년 Gallery Northbruga <공작> 한지에 먹, 2025_145x74cm 외 매화 풍경 등 12점 출판  <두륜> 도서출판 헥사곤, 2020
      <지리> 도서출판 헥사곤 2025",227
